Time (s),Thrust (N),Oxidizer Tank Pressure (kPa),Combustion Chamber Pressure (kPa),Injector Pressure Drop (kPa),Oxidizer Mass (kg),Fuel Mass (kg),Oxidizer Mass Flow Rate (kg/s),Fuel Mass Flow Rate (kg/s),Exhaust Mass Flow Rate (kg/s),Oxidizer to Fuel Ratio,Grain ID (cm),Regression Rate (mm/s)
0,0,5060.1283,101.325,0,10.438037,1.7333008,0,0,0,0,3.34,0
0.001,0,5060.1283,191.89764,-0.44075666,10.435141,1.7329061,2.8962839,0.39468162,0.078341347,7.3382792,3.3423882,0.011940981
0.002,107.03913,5059.6875,280.78607,-0.45847204,10.432271,1.7325135,2.8696348,0.39263111,0.14816122,7.3087301,3.3447623,0.011870456
0.003,266.97113,5059.2291,367.5552,-0.45533305,10.429428,1.7321229,2.8432318,0.39059153,0.21652406,7.2792973,3.3471224,0.011800411
0.004,422.62419,5058.7737,452.01186,-0.45122733,10.426611,1.7317343,2.8172163,0.3885738,0.2831348,7.2501448,3.3494686,0.011731175
0.005,573.84047,5058.3225,534.0677,-0.4471437,10.423819,1.7313477,2.7916579,0.38658353,0.34788204,7.2213574,3.3518012,0.011662912
0.006,720.54244,5057.8754,613.6919,-0.44313662,10.421053,1.7309631,2.7665963,0.3846241,0.41062079,7.1929874,3.3541203,0.011595722
0.007,862.71472,5057.4322,690.88895,-0.43921231,10.418311,1.7305804,2.7420548,0.38269764,0.47122774,7.1650684,3.3564263,0.011529666
0.008,1000.4268,5056.993,765.6804,-0.43537301,10.415593,1.7301996,2.7180462,0.38080552,0.52984286,7.1376227,3.3587192,0.011464779
0.009,1133.7444,5056.5576,838.1009,-0.43162,10.412898,1.7298207,2.694578,0.37894872,0.58649818,7.1106665,3.3609994,0.011401089
0.01,1262.7489,5056.126,908.19376,-0.42795386,10.410226,1.7294435,2.6716536,0.37712788,0.64123457,7.0842114,3.3632672,0.011338609
0.011,1387.5329,5055.6981,976.00814,-0.42437469,10.407577,1.7290682,2.6492734,0.37534341,0.69409844,7.0582654,3.3655226,0.011277349
0.012,1508.1956,5055.2737,1041.5971,-0.42088221,10.40495,1.7286946,2.6274355,0.37359556,0.74513953,7.032834,3.3677661,0.011217311
0.013,1624.8587,5054.8528,1105.0109,-0.41747588,10.402344,1.7283227,2.6061365,0.37188443,0.79459821,7.0079204,3.3699978,0.011158496
0.014,1737.573,5054.4353,1166.3012,-0.41415522,10.399758,1.7279525,2.5853732,0.37021015,0.84253588,6.9835286,3.372218,0.011100902
0.015,1846.4435,5054.0212,1225.5242,-0.41091961,10.397193,1.7275839,2.5651417,0.36857279,0.88886579,6.9596611,3.3744269,0.011044529
0.016,1951.5949,5053.6103,1282.7377,-0.40776812,10.394648,1.727217,2.545436,0.36697223,0.93360121,6.936318,3.3766248,0.010989369
0.017,2053.135,5053.2025,1337.9992,-0.40469964,10.392121,1.7268516,2.5262493,0.36540827,0.97679017,6.9134979,3.3788118,0.010935412
0.018,2151.1709,5052.7978,1391.3663,-0.401713,10.389614,1.7264877,2.507574,0.36388066,1.0184802,6.8911988,3.3809884,0.010882647
0.019,2245.8087,5052.3961,1442.8957,-0.39880692,10.387124,1.7261253,2.4894021,0.36238911,1.0587183,6.8694176,3.3831546,0.010831062
0.02,2337.1531,5051.9973,1492.6435,-0.39598009,10.384653,1.7257644,2.4717255,0.36093326,1.0975506,6.8481509,3.3853107,0.010780642
0.021,2425.307,5051.6013,1540.6647,-0.39323115,10.382198,1.7254048,2.4545354,0.35951276,1.1350221,6.8273944,3.387457,0.010731374
0.022,2510.3958,5051.2081,1587.011,-0.39055868,10.37976,1.7250467,2.4378231,0.35812718,1.1712704,6.8071436,3.3895936,0.010683242
0.023,2592.4947,5050.8175,1631.7348,-0.38796141,10.377339,1.7246899,2.4215807,0.35677618,1.2062606,6.7873944,3.3917209,0.010636232
0.024,2671.6956,5050.4295,1674.8883,-0.38543791,10.374933,1.7243345,2.405799,0.35545932,1.2400178,6.7681416,3.3938389,0.010590327
0.025,2748.093,5050.0441,1716.5222,-0.38298671,10.372543,1.7239803,2.3904689,0.35417611,1.2725823,6.7493792,3.395948,0.010545511
0.026,2821.7789,5049.6611,1756.686,-0.38060632,10.370167,1.7236274,2.3755811,0.35292607,1.3039938,6.7311011,3.3980484,0.010501764
0.027,2892.8435,5049.2805,1795.4283,-0.37829525,10.367806,1.7232757,2.3611261,0.35170867,1.3342906,6.7133008,3.4001402,0.010459071
0.028,2961.3741,5048.9022,1832.7959,-0.37605199,10.365459,1.7229251,2.3470946,0.3505234,1.3635103,6.6959713,3.4022237,0.01041741
0.029,3027.456,5048.5262,1868.8349,-0.37387503,10.363125,1.7225758,2.3334773,0.34936971,1.3916891,6.6791058,3.404299,0.010376764
0.03,3091.1719,5048.1523,1903.5897,-0.37176289,10.360805,1.7222275,2.3202645,0.34824705,1.4188624,6.6626968,3.4063665,0.010337114
0.031,3152.6024,5047.7805,1937.1037,-0.36971407,10.358498,1.7218804,2.3074471,0.34715487,1.4450644,6.6467371,3.4084262,0.010298441
0.032,3211.8254,5047.4108,1969.4189,-0.36772706,10.356203,1.7215343,2.2950157,0.34609259,1.4703283,6.6312189,3.4104783,0.010260724
0.033,3268.9168,5047.0431,2000.5763,-0.3658004,10.35392,1.7211892,2.282961,0.34505964,1.4946864,6.6161346,3.4125231,0.010223944
